CITY,TAX_MEAN,TAX_STD,PROPERTY_COUNT,TAX_CV,STABILITY_SCORE,CITY 1,Latitude,Longitude
North Smithfield,5598.805,2182.4994684016156,16,0.38981523171491334,Sangat Stabil,North Smithfield,41.8292472468125,-71.44082781756251
Norwood,6412.648,2568.073276222023,15,0.4004700205316155,Sangat Stabil,Norwood,41.83098273346666,-71.44131387186667
PAWTUCKET,1937.594285714286,2481.1891749009615,21,1.280551451454287,Kurang Stabil,PAWTUCKET,41.840924638714284,-71.42112837323809
PROVIDENCE,3760.611113189897,2272.872914331266,5345,0.6043892457689747,Cukup Stabil,PROVIDENCE,41.82377320759869,-71.42854263135398
Pawtucket,4933.20935323383,2777.09361960739,201,0.562938529618035,Cukup Stabil,Pawtucket,41.82971186437313,-71.42753914779104
Plymouth,4971.68,2155.7034169291474,16,0.43359657438313554,Sangat Stabil,Plymouth,41.8197971905,-71.428520690125
Providence,4061.4574133686806,2149.970867468793,21124,0.5293594512137332,Stabil,Providence,41.82499248045711,-71.42838007933871
"Providence, RI",6277.026666666667,1900.9875496051645,27,0.3028484106496013,Sangat Stabil,"Providence, RI",41.827670376814815,-71.41315152459259
Quincy,5853.923636363636,3136.228877942949,22,0.5357481704170511,Stabil,Quincy,41.824860551227275,-71.42390044304545
RUMFORD,5263.8036363636365,3036.6448382096737,11,0.5768917398878242,Cukup Stabil,RUMFORD,41.83685116236364,-71.42860887763636
Randolph,4542.307692307692,1763.9743574390654,13,0.3883432116292608,Sangat Stabil,Randolph,41.82581531523077,-71.43616662907692
Rehoboth,4401.644285714286,3133.033643452169,28,0.7117871050190394,Kurang Stabil,Rehoboth,41.82371193310714,-71.42060701264286
Riverside,6475.687272727272,3250.2940643243064,11,0.5019226419430577,Stabil,Riverside,41.83138637081818,-71.4199854460909
Rumford,5214.55,2590.046746365381,20,0.49669611881473585,Stabil,Rumford,41.81539407225,-71.42242160229999
SEEKONK,4490.607272727273,3539.0433991492414,11,0.788099066387491,Kurang Stabil,SEEKONK,41.834965588181824,-71.4115359910909
SMITHFIELD,4308.96347826087,3253.095912777981,23,0.7549601961562586,Kurang Stabil,SMITHFIELD,41.82980665295652,-71.42380852226087
Saunderstown,5302.624,3184.84753556308,10,0.6006172671422828,Cukup Stabil,Saunderstown,41.8281020237,-71.4320465087
Scituate,6781.847272727272,1137.208142611465,11,0.16768412747728317,Sangat Stabil,Scituate,41.82457418463636,-71.44043700027272
Seattle,1875.3239999999998,2216.847971366458,20,1.182114648650824,Kurang Stabil,Seattle,41.8202788292,-71.4137477386
Seekonk,5981.437857142858,2867.1444077242454,56,0.479340331907049,Stabil,Seekonk,41.82991899992857,-71.423438161875
Sharon,5998.569523809523,2744.4580128514917,21,0.45751874708764956,Stabil,Sharon,41.82332390280952,-71.42592136342857
Smithfield,4240.28,2327.361137189022,46,0.5488696824712099,Stabil,Smithfield,41.82847145743478,-71.43097003552174
Somerville,5495.908,3344.882857888383,10,0.608613327932051,Cukup Stabil,Somerville,41.8329190955,-71.4179926035
South Attleboro,5267.465454545454,1103.70843458192,11,0.20953311305145758,Sangat Stabil,South Attleboro,41.827510727454545,-71.42318936763637
Stoughton,6527.011111111111,1948.5685320281805,18,0.2985391780184162,Sangat Stabil,Stoughton,41.812676334222225,-71.41580250638889
Swansea,5741.7292307692305,2864.2284671049474,13,0.4988442247948396,Stabil,Swansea,41.81955159569231,-71.42844729346153
WARWICK,4712.0428571428565,2941.574503990715,42,0.6242673492520686,Cukup Stabil,WARWICK,41.811312655142856,-71.41558251102381
Wakefield,3944.5781818181817,3143.0321134783794,11,0.7967980272176164,Kurang Stabil,Wakefield,41.826619551,-71.42128135245456
Waltham,4970.664,3758.324469095829,10,0.7561010901352071,Kurang Stabil,Waltham,41.8220605895,-71.4322400825
Warren,5131.056842105263,2758.7026421471146,19,0.5376480376341386,Stabil,Warren,41.828315823000004,-71.42744957652633
Warwick,4542.193875598086,2722.296384476081,209,0.5993351360673981,Cukup Stabil,Warwick,41.818446928334936,-71.43209062121053
West Greenwich,4934.393333333333,3307.0073431958863,12,0.6701953248955737,Cukup Stabil,West Greenwich,41.82337147175,-71.44023622774999
West Roxbury,6741.41090909091,2599.249602056157,11,0.3855646298834898,Sangat Stabil,West Roxbury,41.830828269363636,-71.43127200654546
West Warwick,5188.425641025641,2304.962972014261,39,0.4442509407456053,Stabil,West Warwick,41.820024486179484,-71.43132759510256
Westport,6186.487999999999,3796.500513393296,10,0.6136762107019841,Cukup Stabil,Westport,41.817543802299994,-71.4253236089
Woonsocket,4696.104242424242,2415.7980358659825,33,0.5144259818685135,Stabil,Woonsocket,41.82733339657575,-71.4264537491515
